Step,Value
0,0.3020833432674408
1,0.375
2,0.40625
3,0.2708333432674408
4,0.4375
5,0.625
6,0.5833333730697632
7,0.6354166865348816
8,0.6133333444595337
9,0.6979166865348816
10,0.8020833730697632
11,0.65625
12,0.7083333730697632
13,0.75
14,0.625
15,0.71875
16,0.71875
17,0.6800000071525574
18,0.71875
19,0.59375
20,0.65625
21,0.875
22,0.59375
23,0.78125
24,0.84375
25,0.71875
26,0.5600000023841858
27,0.71875
28,0.78125
29,0.65625
30,0.78125
31,0.6875
32,0.65625
33,0.8125
34,0.5625
35,0.7200000286102295
36,0.71875
37,0.75
38,0.71875
39,0.71875
40,0.71875
41,0.5
42,0.6875
43,0.78125
44,0.800000011920929
45,0.78125
46,0.75
47,0.65625
48,0.75
49,0.78125
50,0.625
51,0.65625
52,0.6875
53,0.6800000071525574
54,0.6875
55,0.71875
56,0.6875
57,0.8125
58,0.625
59,0.6875
60,0.71875
61,0.71875
62,0.7200000286102295
63,0.71875
64,0.75
65,0.71875
66,0.71875
67,0.71875
68,0.71875
69,0.84375
70,0.53125
71,0.6399999856948853
72,0.6875
73,0.71875
74,0.78125
75,0.65625
76,0.75
77,0.78125
78,0.65625
79,0.78125
80,0.5200000405311584
81,0.6875
82,0.625
83,0.78125
84,0.75
85,0.75
86,0.71875
87,0.65625
88,0.65625
89,0.7599999904632568
